I, [2018-07-06T12:25:08.123555 #9557]  INFO -- Kitchen: -----> Starting Kitchen (v1.22.0)
E, [2018-07-06T12:25:08.123859 #9557] ERROR -- Kitchen: ------Exception-------
E, [2018-07-06T12:25:08.123889 #9557] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-07-06T12:25:08.123907 #9557] ERROR -- Kitchen: Message: Kitchen YAML file /root/coding/chef-code/cookbooks/.kitchen.yml does not exist.
E, [2018-07-06T12:25:08.129085 #9557] ERROR -- Kitchen: ----------------------
E, [2018-07-06T12:25:08.129255 #9557] ERROR -- Kitchen: ------Backtrace-------
E, [2018-07-06T12:25:08.129289 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-07-06T12:25:08.129309 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:152:in `data'
E, [2018-07-06T12:25:08.129355 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-07-06T12:25:08.129397 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-07-06T12:25:08.129449 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-07-06T12:25:08.129467 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-07-06T12:25:08.129479 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-07-06T12:25:08.129490 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-07-06T12:25:08.129500 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-07-06T12:25:08.129529 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-07-06T12:25:08.129541 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-07-06T12:25:08.129552 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-07-06T12:25:08.129562 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-07-06T12:25:08.129572 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/command.rb:27:in `run'
E, [2018-07-06T12:25:08.129582 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-07-06T12:25:08.129592 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor.rb:387:in `dispatch'
E, [2018-07-06T12:25:08.129602 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/base.rb:466:in `start'
E, [2018-07-06T12:25:08.129612 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-07-06T12:25:08.129623 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-07-06T12:25:08.129633 #9557] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.22.0/bin/kitchen:13:in `<top (required)>'
E, [2018-07-06T12:25:08.129643 #9557] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:272:in `load'
E, [2018-07-06T12:25:08.129653 #9557] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:272:in `<main>'
E, [2018-07-06T12:25:08.129663 #9557] ERROR -- Kitchen: ----End Backtrace-----
